Number	Selection	P_fix	P_fix_MH
882	-10.7825625991	0.0	0.0
883	-0.0250328277814	0.000345979180706	0.00703751678305
884	-70.1766047259	0.0	0.0
885	-709.7756926	0.0	0.0
886	0.00272209263796	0.0129326382369	1.0
887	-0.0826207383343	1.19715025024e-08	7.85990526648e-08
888	-408.318575402	0.0	0.0
889	0.00051563548874	0.0105190716445	1.0
890	-103.701012655	0.0	0.0
891	-468.534935966	0.0	0.0
892	-22.9397140222	0.0	0.0
893	-709.7756926	0.0	0.0
894	-0.443194901484	4.55834678504e-39	7.7541496044e-39
895	0.0070202933316	0.0184814990874	1.0
896	-0.00466362448308	0.00607936428548	0.397167311452
897	-8.97958465622	0.0	0.0
898	-68.882183509	0.0	0.0
899	0.0070202933316	0.0184814990874	1.0
900	0.00702028682562	0.0184814899088	1.0
901	-7.1720716277	0.0	0.0
902	0.00171743241161	0.0117952895467	1.0
903	-2.23971963251	2.51690798051e-193	2.54577650044e-193
904	-11.1659122912	0.0	0.0
905	-29.9283127571	0.0	0.0
906	-709.7756926	0.0	0.0
907	-34.7134085646	0.0	0.0
908	-37.7466441106	0.0	0.0
909	0.00126198228791	0.011300745313	1.0
910	-0.446727332717	2.27609697287e-39	3.85282539795e-39
911	-3.37393447364	7.47872418223e-291	7.48750985773e-291
912	-61.4470244992	0.0	0.0
913	-0.0721781644037	8.35302848275e-08	6.2140887866e-07
914	-3.13450361382	2.89899367272e-270	2.90449510033e-270
915	0.00682880400988	0.0182122977532	1.0
916	-0.0323180921071	0.000104267922235	0.00166324920518
917	-0.00865989744181	0.00375565101264	0.180024973963
918	-61.6999734776	0.0	0.0
919	-230.01739561	0.0	0.0
920	-8.16418065902	0.0	0.0
921	-1.95519493218	7.30126835477e-169	7.45052235579e-169
922	-1.10697545411	5.76218783028e-96	6.469048366e-96
923	-166.597272589	0.0	0.0
924	-0.0264837761328	0.000273773364382	0.00528021916137
925	-0.00832513838127	0.00391749232793	0.192361781855
926	0.00320335310323	0.0134997940418	1.0
927	0.00630391566052	0.017484293388	1.0
928	0.00680950775475	0.0181852765431	1.0
929	-709.7756926	0.0	0.0
930	0.00574836167336	0.0167299381607	1.0
931	0.00701846402964	0.0184789183935	1.0
932	-0.351619933914	2.9336155229e-31	5.80889851094e-31
933	-4.13548272726	0.0	0.0
934	-20.6338389746	0.0	0.0
935	-524.656552903	0.0	0.0
936	-6.57516496833	0.0	0.0
937	-61.4470244992	0.0	0.0
938	-0.00619430273613	0.00508454255137	0.293325624172
939	-322.512090007	0.0	0.0
940	-709.7756926	0.0	0.0
941	-9.55403314822	0.0	0.0
942	0.000560884387896	0.0105654414667	1.0
943	-12.2670871924	0.0	0.0
944	-107.929562292	0.0	0.0
945	-709.7756926	0.0	0.0
946	-709.7756926	0.0	0.0
947	-567.895343428	0.0	0.0
948	-0.0395291478173	3.03340071586e-05	0.000398911381266
949	-4.72074212803	0.0	0.0
950	-709.7756926	0.0	0.0
951	-0.0397926009024	2.89760461523e-05	0.00037863609764
952	-444.756645041	0.0	0.0
953	0.00582294518604	0.0168302263755	1.0
954	-115.936707033	0.0	0.0
955	-0.697612343213	7.73475480578e-61	1.02825338841e-60
956	-282.199608352	0.0	0.0
957	-92.9882308574	0.0	0.0
958	-253.395921861	0.0	0.0
959	-709.7756926	0.0	0.0
960	0.0070202933316	0.0184814990874	1.0
961	-44.490539765	0.0	0.0
962	-0.00271399510422	0.007550807598	0.584282295269
963	-0.00349757017546	0.00693112302564	0.500314241615
964	-0.0280372046252	0.000212478183575	0.00388214859973
965	-0.306092919762	2.18617642612e-27	4.77502590023e-27
966	-0.0159129184952	0.00139935720904	0.0428196631692
967	-0.0960877428608	9.55039108191e-10	5.46242456386e-09
968	-7.83547384345	0.0	0.0
969	-0.0201297678502	0.000746468533227	0.0185795450047
970	-7.69087831255	0.0	0.0
971	-709.7756926	0.0	0.0
972	-227.940553353	0.0	0.0
973	-0.0417842101582	2.04685372883e-05	0.000255248338226
974	-155.353550679	0.0	0.0
975	-0.0837753037011	9.64731904038e-09	6.25368325603e-08
976	-709.7756926	0.0	0.0
977	0.00010568147789	0.0101049858135	1.0
978	-0.0153220254301	0.00152379044507	0.0481342626063
979	-0.00622169253138	0.00506797228482	0.291739172367
980	-6.33678896183	0.0	0.0
981	-4.00913225478	0.0	0.0
982	-19.1562343603	0.0	0.0
983	-109.930850544	0.0	0.0
984	-0.221791701242	3.03578203851e-20	8.47351158803e-20
985	-0.00662087485243	0.00483124693281	0.269568372158
986	-188.654739143	0.0	0.0
987	-553.099756159	0.0	0.0
988	-40.5628061554	0.0	0.0
989	-0.169350674368	7.86730946884e-16	2.73831528021e-15
990	-62.8216996709	0.0	0.0
991	0.0070202933316	0.0184814990874	1.0
992	-68.7397110093	0.0	0.0
993	-0.272703930689	1.49197779875e-24	3.54899319202e-24
994	-145.498991984	0.0	0.0
995	0.00630105092408	0.0174803604333	1.0
996	-709.7756926	0.0	0.0
997	-0.00136126239795	0.00871228359767	0.763738401553
998	-3.51153960058	1.0996211313e-302	1.1006018528e-302
999	-0.0355954550164	5.97784881798e-05	0.000869232349043
1000	-2.57579933599	3.18934367036e-222	3.20791796703e-222
1001	-0.0207129076553	0.000682574493938	0.0165535331634
1002	-100.980387835	0.0	0.0
1003	-0.024166236219	0.000397369957686	0.00835483578889
1004	-589.665113619	0.0	0.0
1005	-0.00732322769265	0.00443601859975	0.234570503161
1006	-0.847607098305	1.06152290988e-73	1.30018469065e-73
1007	-513.464378628	0.0	0.0
1008	-4.68844772491	0.0	0.0
1009	-2.80302982652	9.2258060193e-242	9.25984078356e-242
1010	-0.0038883909101	0.00663635854969	0.463058723558
1011	-0.314424437315	4.28224936627e-28	9.17373046496e-28
1012	-0.168231426386	9.76449292291e-16	3.41765270024e-15
1013	-0.804988313402	4.80790547889e-70	6.0090727731e-70
1014	-5.35636043214	0.0	0.0
1015	0.00551953242948	0.0164241754269	1.0
1016	-94.108577227	0.0	0.0
1017	0.00246547409677	0.0126360969123	1.0
1018	-137.134831986	0.0	0.0
1019	-59.9092428285	0.0	0.0
1020	-0.0363997956477	5.20818516897e-05	0.000741259687762
1021	-0.00346804829528	0.00695377359132	0.503247308624
1022	-269.878315966	0.0	0.0
1023	-153.565617152	0.0	0.0
1024	-6.5732805061	0.0	0.0
1025	-18.2348574439	0.0	0.0
1026	-0.143733885103	1.09128883473e-13	4.36796383322e-13
1027	0.00233494241277	0.0124868384223	1.0
1028	-0.0067314454559	0.00476724170882	0.263730850843
1029	-97.0294786901	0.0	0.0
1030	-5.24480076776	0.0	0.0
1031	-0.208540032414	3.98449636733e-19	1.16836490692e-18
1032	0.00702028520286	0.0184814876194	1.0
1033	0.00524244209646	0.0160578617804	1.0
1034	-0.00785215289004	0.00415579869569	0.211247198953
1035	0.0030467930133	0.0133137210691	1.0
1036	-5.35636043214	0.0	0.0
1037	-0.0171621266587	0.00116588448038	0.0334367033915
1038	-0.0360030856687	5.57487779919e-05	0.000801832389654
1039	-0.143049071646	1.24461813706e-13	5.00226106445e-13
1040	0.00310014189223	0.0133769571953	1.0
1041	-0.591235427428	1.00119231663e-51	1.44372288191e-51
1042	-406.626398223	0.0	0.0
1043	-0.592737385458	7.44627480204e-52	1.07233382927e-51
1044	0.00346103415741	0.013809323658	1.0
1045	-0.00832513838127	0.00391749232793	0.192361781855
1046	-709.7756926	0.0	0.0
1047	0.0070202933316	0.0184814990874	1.0
1048	-0.00869746653705	0.003737834785	0.178690794056
1049	-200.856091263	0.0	0.0
1050	0.00192819841058	0.0120286154857	1.0
1051	-0.0056211813521	0.00544106279829	0.328573767484
1052	-0.0495372680684	5.18707601691e-06	5.49889073544e-05
1053	0.00399110333229	0.0144587295562	1.0
1054	-0.00403341068548	0.00652937794069	0.449951573828
1055	-0.0863907571309	5.91221989579e-09	3.72590893716e-08
1056	-4.76573875176	0.0	0.0
1057	-0.0230296450865	0.000475761394489	0.0104634219546
1058	-0.0165344820776	0.00127838329443	0.0378612373547
1059	-709.7756926	0.0	0.0
1060	-155.353550679	0.0	0.0
1061	-0.513138608879	4.81237275621e-45	7.49986204809e-45
1062	0.00381301226784	0.0142386532038	1.0
1063	-334.015373052	0.0	0.0
1064	-0.0842412957213	8.84195205966e-09	5.70249723972e-08
1065	-10.19756736	0.0	0.0
1066	-0.520378562305	1.15682076972e-45	1.78849386286e-45
1067	-0.0349764286023	6.64458963753e-05	0.000982576000268
1068	-709.7756926	0.0	0.0
1069	-0.312949713292	5.71499852702e-28	1.22845131075e-27
1070	-1.43425891811	4.38779495212e-124	4.65194655419e-124
1071	0.00554019884226	0.0164516697838	1.0
1072	-48.2683939596	0.0	0.0
1073	-10.19756736	0.0	0.0
